region	gender	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80 и старше	85 и старше	sum
Кабардино-Балкарская Республика	man	5558	5672	6136	6281	6756	6613	6815	6529	5992	6140	6335	6390	5339	5385	5144	5034	4853	4560	5038	4416	4624	4732	4776	5529	5484	5564	6304	7445	8672	8040	7746	7626	7619	7670	6853	6575	6541	5612	6705	5712	5496	5223	4976	5393	4843	4673	4777	4713	5577	4828	5125	4859	5032	5555	5437	5545	5505	5456	6412	5243	4785	4611	4017	3845	3892	3270	3267	2731	2805	2343	1880	1697	1331	1025	769	844	1349	1349	1589	1416	7835	2961	406133
Кабардино-Балкарская Республика	woman	5274	5363	5810	6058	6332	6479	6569	6003	5766	5981	6355	5934	4947	5098	4821	4901	4848	4436	5067	4841	5042	4895	5159	5668	5589	5795	6743	7194	8752	8300	8256	8271	8053	8521	7468	7177	6916	6193	7400	6055	5901	5493	5487	5999	5344	5370	5335	5387	6336	5544	5976	5783	5774	6874	6666	6712	6919	6721	7841	6465	6134	5962	5356	5164	5198	4395	4373	3842	4070	3563	3010	2785	2344	1757	1497	1774	2974	2649	3514	3075	16393	5819	460086
Карачаево-Черкессия Республика	all	4946	5055	5450	5590	6092	6289	6161	5884	6099	6647	7048	6812	5836	6133	5904	5494	5386	4905	5382	4833	5171	4764	5295	6012	5716	5427	6486	6870	8654	7640	7929	7898	7671	8362	7306	7671	7199	6541	7956	6543	6434	6222	6108	6514	5904	5847	5862	5570	6654	5491	6172	5736	5820	6495	6486	6424	6573	6469	7856	6507	6392	6264	5809	5524	5304	4755	4508	3922	4386	3602	2879	2484	2043	1385	1008	1497	1761	2340	2985	2706	15808	5936	465563
Карачаево-Черкессия Республика	man	2477	2588	2782	2939	3102	3249	3158	3019	3036	3446	3618	3427	2998	3047	3046	2725	2754	2449	2740	2249	2572	2294	2628	3014	2941	2742	3119	3319	4259	3740	3837	3726	3576	3838	3380	3505	3377	3067	3758	3018	2993	3006	2825	2925	2766	2765	2720	2581	3047	2512	2813	2644	2637	2984	2913	2876	3012	2859	3501	2898	2802	2813	2520	2393	2176	2041	1796	1563	1837	1445	1129	996	759	524	345	534	544	750	943	731	5300	2072	215777
Карачаево-Черкессия Республика	woman	2469	2467	2668	2651	2990	3040	3003	2865	3063	3201	3430	3385	2838	3086	2858	2769	2632	2456	2642	2584	2599	2470	2667	2998	2775	2685	3367	3551	4395	3900	4092	4172	4095	4524	3926	4166	3822	3474	4198	3525	3441	3216	3283	3589	3138	3082	3142	2989	3607	2979	3359	3092	3183	3511	3573	3548	3561	3610	4355	3609	3590	3451	3289	3131	3128	2714	2712	2359	2549	2157	1750	1488	1284	861	663	963	1217	1590	2042	1975	10508	3864	249786
Республика Северная Осетия-Алания	all	9135	8866	9700	10002	10443	10347	10293	9927	8989	8941	9229	9452	8185	8251	8148	8232	8000	7554	8217	7815	8216	8143	8651	9684	9186	8927	9984	10727	11768	11365	10799	10988	10700	11186	10199	10241	9798	8875	10703	9354	9094	9215	9076	9689	9009	8872	8805	8262	9861	8162	8745	8346	8604	9602	9027	9078	9162	9239	10437	8661	8597	8045	7611	7399	7587	6647	6823	6018	6567	5803	4829	4953	4045	3074	2110	2399	3673	4480	5253	4677	28497	11273	699253
Республика Северная Осетия-Алания	man	4750	4600	5021	5139	5355	5291	5249	4995	4525	4645	4552	4713	4319	4267	4177	4208	4104	3868	4271	4081	4203	4220	4405	4977	4815	4729	5302	5951	6094	5756	5386	5279	5052	5167	4786	4972	4606	4150	5092	4442	4305	4200	4238	4433	4098	4128	4017	3731	4587	3687	3999	3691	3911	4331	3974	3954	4051	4059	4568	3775	3593	3385	3251	2940	3010	2654	2750	2344	2566	2176	1758	1839	1481	1061	754	837	1157	1460	1674	1387	8551	3314	323879
Республика Северная Осетия-Алания	woman	4385	4266	4679	4863	5088	5056	5044	4932	4464	4296	4677	4739	3866	3984	3971	4024	3896	3686	3946	3734	4013	3923	4246	4707	4371	4198	4682	4776	5674	5609	5413	5709	5648	6019	5413	5269	5192	4725	5611	4912	4789	5015	4838	5256	4911	4744	4788	4531	5274	4475	4746	4655	4693	5271	5053	5124	5111	5180	5869	4886	5004	4660	4360	4459	4577	3993	4073	3674	4001	3627	3071	3114	2564	2013	1356	1562	2516	3020	3579	3290	19946	7959	375374
Чеченская республика	all	29739	30945	29441	31130	32040	31911	33032	35893	30296	30871	33544	30673	28283	29455	28335	27625	26449	22887	24654	24929	24477	22147	21253	21546	20705	20322	22841	22474	29451	27080	25658	25215	25135	26161	22288	21822	21057	18701	24030	18794	17262	16053	15481	16832	14350	13792	13820	13031	16813	13181	13236	12056	12178	14235	12730	13355	13244	12839	15726	13122	11745	11029	9944	9787	8698	8154	7645	6108	6636	4809	3623	2969	1878	1305	1511	1489	2239	1838	2811	2110	13998	5051	1456951
Чеченская республика	man	15362	15901	15178	15981	16507	16388	16860	18545	15389	15588	16948	15438	14281	14860	14225	14031	13342	11549	12269	12525	12149	11168	10642	10741	10347	10066	10957	10789	14363	13515	12989	12991	12863	13250	11496	11107	10544	9589	12089	9347	8495	7981	7655	8137	6896	6632	6624	6133	8151	6125	6118	5591	5573	6522	5793	6141	5911	5966	7416	6270	5391	5083	4404	4386	3820	3684	3419	2756	3074	2077	1541	1225	797	529	576	561	808	652	1022	722	5209	2109	718035
Чеченская республика	woman	14377	15044	14263	15149	15533	15523	16172	17348	14907	15283	16596	15235	14002	14595	14110	13594	13107	11338	12385	12404	12328	10979	10611	10805	10358	10256	11884	11685	15088	13565	12669	12224	12272	12911	10792	10715	10513	9112	11941	9447	8767	8072	7826	8695	7454	7160	7196	6898	8662	7056	7118	6465	6605	7713	6937	7214	7333	6873	8310	6852	6354	5946	5540	5401	4878	4470	4226	3352	3562	2732	2082	1744	1081	776	935	928	1431	1186	1789	1388	8789	2942	738916
Ставропольский край	all	30561	32101	36031	36253	36188	35216	35048	33011	31924	33299	34851	33297	30193	30916	30228	29951	28532	26705	28079	25712	26506	25938	27584	31108	33894	36867	45487	47747	53508	49120	48162	47513	47491	48713	46511	46480	44057	41743	46240	40569	40404	38177	38547	40665	36945	36362	36140	34239	37428	31778	32714	31525	32341	35542	34448	36685	37814	39596	44127	39002	37107	35541	34569	34961	34856	31898	31174	28288	29332	27814	22525	21268	18104	11007	7881	9471	12310	16972	19924	19809	102619	37010	2795243
Ставропольский край	man	15739	16581	18450	18590	18522	18237	18188	16854	16229	17169	17837	17001	15567	15614	15464	15433	14750	13849	14374	12962	13269	12739	13894	15543	17333	18676	22121	23770	26106	24190	23504	23474	23548	23932	23192	23230	21778	20732	22999	19871	19811	18588	18843	19585	18039	17437	17303	16339	17955	15099	15456	14800	15054	16362	15768	16755	16970	17718	20076	17342	16373	15545	14689	14668	14247	12884	12509	11351	11541	10717	8673	7970	6571	3882	2634	3099	3935	5127	5996	5694	29026	9785	1303742
Ставропольский край	woman	14822	15520	17581	17663	17666	16979	16860	16157	15695	16130	17014	16296	14626	15302	14764	14518	13782	12856	13705	12750	13237	13199	13690	15565	16561	18191	23366	23977	27402	24930	24658	24039	23943	24781	23319	23250	22279	21011	23241	20698	20593	19589	19704	21080	18906	18925	18837	17900	19473	16679	17258	16725	17287	19180	18680	19930	20844	21878	24051	21660	20734	19996	19880	20293	20609	19014	18665	16937	17791	17097	13852	13298	11533	7125	5247	6372	8375	11845	13928	14115	73593	27225	1491501
Республика Башкортостан	all	46781	48824	55022	58070	59293	58205	57948	54662	55233	54349	53735	50558	43999	43566	44340	44175	44008	41080	39039	36175	39634	39267	42336	42543	47427	47274	53962	57279	63046	65931	69716	73104	71057	68181	64669	66481	60065	57867	57796	54083	53641	52297	51819	51712	50288	49192	49479	49226	50499	49215	50567	50775	53482	55393	57746	61301	63356	65940	68193	63681	62089	58572	53341	51828	50727	43897	44197	41665	36760	37646	28160	27809	24718	12749	8599	9498	16023	21491	22469	24893	145292	58441	4051005
Республика Башкортостан	man	24130	25235	28336	30006	30290	29884	29730	28093	28153	27894	27311	25811	22437	22134	22447	22630	22528	20812	19330	17213	19169	19200	20993	20645	24259	23946	28488	29666	31906	33058	35553	37504	36339	34192	32383	33551	30222	28688	28392	26305	25971	24913	24649	24775	23967	23494	23534	23451	24150	23489	24208	24228	25127	26069	26949	28399	29107	30341	31140	28861	27538	25515	22867	22136	21057	17900	17968	16692	14440	14388	10547	10322	8841	4531	2969	3173	5173	6618	6705	7253	36999	13355	1899317
Республика Башкортостан	woman	22651	23589	26686	28064	29003	28321	28218	26569	27080	26455	26424	24747	21562	21432	21893	21545	21480	20268	19709	18962	20465	20067	21343	21898	23168	23328	25474	27613	31140	32873	34163	35600	34718	33989	32286	32930	29843	29179	29404	27778	27670	27384	27170	26937	26321	25698	25945	25775	26349	25726	26359	26547	28355	29324	30797	32902	34249	35599	37053	34820	34551	33057	30474	29692	29670	25997	26229	24973	22320	23258	17613	17487	15877	8218	5630	6325	10850	14873	15764	17640	108293	45086	2151688
Республика Марий Эл	all	7339	8080	9409	9709	9839	9901	9623	8940	8570	8534	8381	8044	7221	7070	7187	7038	6746	6461	6463	6376	6375	6214	6493	6744	7330	7239	7862	8614	9784	10614	11574	12337	12359	11448	11543	11577	10333	10171	9947	9600	9125	9151	9142	9023	8486	8169	8075	7931	8167	7796	7999	8356	8712	9105	9467	10395	10300	11358	11618	11551	11409	11244	10263	10237	9827	8522	7933	7614	6923	7107	5777	5527	4344	2089	1532	1306	2568	3677	3809	3900	21757	9005	680380
